job_id,job_title,company_name,required_skills,location,salary,job_type,experience_level,remote,job_description,requirements
KG-100465,QA Engineer,Sony,"Communication, Teaching, Java, Django","London, UK",783.67 USD/month,Full-time,Senior,No,"This role requires strong skills in Communication, Teaching, Java, Django. Talas Agro offers a Full-time position located in Batken.","Communication, Teaching, Java, Django"
KG-100576,AI Engineer,SAP,"C#, Power BI","Amsterdam, Netherlands",242.56 USD/month,Full-time,Senior,No,"This role requires strong skills in C#, Power BI. ITBridge offers a Full-time position located in Osh.","C#, Power BI"
KG-100585,Backend Developer,Microsoft,"Project Management, Docker, Django, Azure","Toronto, Canada",303.93 USD/month,Internship,Mid-level,No,"This role requires strong skills in Project Management, Docker, Django, Azure. SilkRoad Foods offers a Internship position located in Kant.","Project Management, Docker, Django, Azure"
KG-100372,Database Administrator,Capgemini,"C#, Kubernetes, Marketing","Tokyo, Japan",139.78 USD/month,Full-time,Mid-level,No,"This role requires strong skills in C#, Kubernetes, Marketing. Alatoo Bank offers a Full-time position located in Karakol.","C#, Kubernetes, Marketing"
KG-100400,Frontend Developer,Meta,"Marketing, Kubernetes","Toronto, Canada",4830.25 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Marketing, Kubernetes. SkyEdu KG offers a Full-time position located in Bishkek.","Marketing, Kubernetes"
KG-100341,QA Engineer,Deloitte,"Python, Linux, Git","Paris, France",364.29 USD/month,Full-time,,Yes,"This role requires strong skills in Python, Linux, Git. HR Solutions KG offers a Full-time position located in Bishkek.","Python, Linux, Git"
KG-100149,UI/UX Designer,Intel,"Marketing, Azure, React","Paris, France",357.84 USD/month,Full-time,Junior,No,"This role requires strong skills in Marketing, Azure, React. HR Solutions KG offers a Full-time position located in Osh.","Marketing, Azure, React"
KG-100495,Product Manager (Tech),Intel,"Git, Accounting, SQL","Dubai, UAE",352.45 USD/month,Full-time,Senior,No,"This role requires strong skills in Git, Accounting, SQL. SilkRoad Foods offers a Full-time position located in Bishkek.","Git, Accounting, SQL"
KG-100440,Systems Engineer,Cisco,"Git, Customer Service, Excel","London, UK",2971.31 USD/month,Full-time,Junior,No,"This role requires strong skills in Git, Customer Service, Excel. SilkRoad Foods offers a Full-time position located in Tokmok.","Git, Customer Service, Excel"
KG-100146,Software Engineer,Accenture,"Django, Linux, AWS, React, Docker","London, UK",705.3 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Django, Linux, AWS, React, Docker. Alatoo Bank offers a Full-time position located in Naryn.","Django, Linux, AWS, React, Docker"
KG-100010,Product Manager (Tech),Google,"Accounting, Django, C#, Docker","London, UK",1086.64 USD/month,Contract,,No,"This role requires strong skills in Accounting, Django, C#, Docker. Sunrise Marketing offers a Contract position located in Karakol.","Accounting, Django, C#, Docker"
KG-100376,QA Engineer,Intel,"JavaScript, Python, Communication, Power BI, Excel","Dubai, UAE",316.45 USD/month,Contract,,Yes,"This role requires strong skills in JavaScript, Python, Communication, Power BI, Excel. ITBridge offers a Contract position located in Jalal-Abad.","JavaScript, Python, Communication, Power BI, Excel"
KG-100524,Cloud Engineer,Accenture,"Teaching, Tableau, SQL","London, UK",180.54 USD/month,Full-time,Junior,No,"This role requires strong skills in Teaching, Tableau, SQL. DataMinds KG offers a Full-time position located in Kant.","Teaching, Tableau, SQL"
KG-100189,Automation Tester,Capgemini,"Accounting, Tableau, Docker, Customer Service","Dubai, UAE",149.82 USD/month,Full-time,Junior,No,"This role requires strong skills in Accounting, Tableau, Docker, Customer Service. Batken Transport offers a Full-time position located in Naryn.","Accounting, Tableau, Docker, Customer Service"
KG-100132,Mobile App Developer,Sony,"C#, Python, Django, Communication, NumPy","Paris, France",283.75 USD/month,Full-time,Junior,No,"This role requires strong skills in C#, Python, Django, Communication, NumPy. SilkRoad Foods offers a Full-time position located in Kara-Balta.","C#, Python, Django, Communication, NumPy"
KG-100573,Automation Tester,IBM,"Excel, Django, AWS, Customer Service, Docker","New York, USA",2922.45 USD/month,Full-time,Senior,No,"This role requires strong skills in Excel, Django, AWS, Customer Service, Docker. AitikSoft offers a Full-time position located in Tokmok.","Excel, Django, AWS, Customer Service, Docker"
KG-100299,Backend Developer,Oracle,"Tableau, Pandas, NumPy",Singapore,315.8 USD/month,Full-time,Senior,No,"This role requires strong skills in Tableau, Pandas, NumPy. Osh Logistics offers a Full-time position located in Naryn.","Tableau, Pandas, NumPy"
KG-100587,Mobile App Developer,Deloitte,"NumPy, Pandas, Teaching, Construction","Amsterdam, Netherlands",,Full-time,Mid-level,No,"This role requires strong skills in NumPy, Pandas, Teaching, Construction. Batken Transport offers a Full-time position located in Kant.","NumPy, Pandas, Teaching, Construction"
KG-100447,Cloud Engineer,Google,"Teaching, Construction, Accounting","Toronto, Canada",480.62 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Teaching, Construction, Accounting. HR Solutions KG offers a Full-time position located in Karakol.","Teaching, Construction, Accounting"
KG-100085,Backend Developer,Apple,"Flask, JavaScript, Pandas","Berlin, Germany",568.93 USD/month,Part-time,,No,"This role requires strong skills in Flask, JavaScript, Pandas. SilkRoad Foods offers a Part-time position located in Tokmok.","Flask, JavaScript, Pandas"
KG-100593,Machine Learning Engineer,Apple,"Docker, Customer Service, Java, Marketing","Dubai, UAE",,Full-time,Senior,No,"This role requires strong skills in Docker, Customer Service, Java, Marketing. DataMinds KG offers a Full-time position located in Karakol.","Docker, Customer Service, Java, Marketing"
KG-100178,Systems Engineer,Apple,"Construction, Communication, AWS","Berlin, Germany",242.96 USD/month,Internship,,No,"This role requires strong skills in Construction, Communication, AWS. Talas Agro offers a Internship position located in Tokmok.","Construction, Communication, AWS"
KG-100154,AI Engineer,SAP,"Project Management, React, Construction, Marketing","Dubai, UAE",191.38 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Project Management, React, Construction, Marketing. EduFuture offers a Full-time position located in Osh.","Project Management, React, Construction, Marketing"
KG-100453,UI/UX Designer,Intel,"Accounting, C#, Power BI, Sales","Dubai, UAE",,Full-time,Mid-level,No,"This role requires strong skills in Accounting, C#, Power BI, Sales. SkyEdu KG offers a Full-time position located in Bishkek.","Accounting, C#, Power BI, Sales"
KG-100197,UI/UX Designer,Oracle,"React, Django, Teaching, JavaScript","Toronto, Canada",,Full-time,Junior,No,"This role requires strong skills in React, Django, Teaching, JavaScript. HR Solutions KG offers a Full-time position located in Jalal-Abad.","React, Django, Teaching, JavaScript"
KG-100076,Mobile App Developer,Sony,"Communication, Kubernetes",Singapore,,Full-time,Mid-level,No,"This role requires strong skills in Communication, Kubernetes. Talas Agro offers a Full-time position located in Naryn.","Communication, Kubernetes"
KG-100093,Data Scientist,Deloitte,"AWS, Construction, Sales","London, UK",,Part-time,Junior,No,"This role requires strong skills in AWS, Construction, Sales. EduFuture offers a Part-time position located in Tokmok.","AWS, Construction, Sales"
KG-100297,Full Stack Developer,Microsoft,"Docker, Git, Customer Service","Paris, France",324.02 USD/month,Full-time,Junior,No,"This role requires strong skills in Docker, Git, Customer Service. CloudKyrgyz offers a Full-time position located in Karakol.","Docker, Git, Customer Service"
KG-100069,Backend Developer,Google,"Project Management, Excel, C#","Dubai, UAE",702.24 USD/month,Part-time,Senior,No,"This role requires strong skills in Project Management, Excel, C#. EduFuture offers a Part-time position located in Talas.","Project Management, Excel, C#"
KG-100016,Systems Engineer,SAP,"Tableau, Excel, AWS","London, UK",219.63 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Tableau, Excel, AWS. HR Solutions KG offers a Full-time position located in Bishkek.","Tableau, Excel, AWS"
KG-100205,Cloud Engineer,SAP,"Git, Java, Django, C#","Berlin, Germany",261.87 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Git, Java, Django, C#. Talas Agro offers a Full-time position located in Kant.","Git, Java, Django, C#"
KG-100159,Mobile App Developer,Google,"Django, Construction","Sydney, Australia",347.72 USD/month,Full-time,Junior,No,"This role requires strong skills in Django, Construction. HR Solutions KG offers a Full-time position located in Kant.","Django, Construction"
KG-100089,Automation Tester,Apple,"Docker, Pandas, Azure","London, UK",396.02 USD/month,Part-time,Mid-level,No,"This role requires strong skills in Docker, Pandas, Azure. Sunrise Marketing offers a Part-time position located in Bishkek.","Docker, Pandas, Azure"
KG-100498,Full Stack Developer,Accenture,"Django, Kubernetes","Sydney, Australia",379.06 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Django, Kubernetes. Talas Agro offers a Full-time position located in Batken.","Django, Kubernetes"
KG-100118,AI Engineer,Intel,"SQL, React, Kubernetes, Construction","Berlin, Germany",,Contract,Senior,Yes,"This role requires strong skills in SQL, React, Kubernetes, Construction. Naryn Energy offers a Contract position located in Talas.","SQL, React, Kubernetes, Construction"
KG-100383,Frontend Developer,SAP,"Java, Sales, Marketing","Toronto, Canada",493.46 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Java, Sales, Marketing. Central Hospital offers a Full-time position located in Batken.","Java, Sales, Marketing"
KG-100406,Network Administrator,Capgemini,"Teaching, Java","New York, USA",330.15 USD/month,Internship,Mid-level,No,"This role requires strong skills in Teaching, Java. SilkRoad Foods offers a Internship position located in Jalal-Abad.","Teaching, Java"
KG-100034,Frontend Developer,Deloitte,"Django, Git, Accounting","Tokyo, Japan",291.3 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Django, Git, Accounting. Alatoo Bank offers a Full-time position located in Kara-Balta.","Django, Git, Accounting"
KG-100001,Cybersecurity Specialist,Microsoft,"NumPy, Marketing","Dubai, UAE",360.38 USD/month,Full-time,Junior,No,"This role requires strong skills in NumPy, Marketing. AitikSoft offers a Full-time position located in Naryn.","NumPy, Marketing"
KG-100594,Backend Developer,Accenture,"Pandas, Linux","Paris, France",4208.07 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Pandas, Linux. Alatoo Bank offers a Full-time position located in Naryn.","Pandas, Linux"
KG-100532,QA Engineer,Amazon,"Java, JavaScript, Communication","Berlin, Germany",244.69 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Java, JavaScript, Communication. Alatoo Bank offers a Full-time position located in Batken.","Java, JavaScript, Communication"
KG-100354,Data Scientist,Deloitte,"Communication, Tableau","Paris, France",385.03 USD/month,Full-time,Junior,No,"This role requires strong skills in Communication, Tableau. Nomad Retail offers a Full-time position located in Karakol.","Communication, Tableau"
KG-100333,UI/UX Designer,Intel,"Construction, Linux, NumPy, Tableau","Toronto, Canada",269.65 USD/month,Part-time,Senior,No,"This role requires strong skills in Construction, Linux, NumPy, Tableau. SkyEdu KG offers a Part-time position located in Osh.","Construction, Linux, NumPy, Tableau"
KG-100535,Software Engineer,Google,"Excel, Communication","Berlin, Germany",400.2 USD/month,Full-time,Senior,No,"This role requires strong skills in Excel, Communication. GreenBuild offers a Full-time position located in Osh.","Excel, Communication"
KG-100245,Systems Engineer,Oracle,"Linux, Git, Azure, Customer Service","Berlin, Germany",104.26 USD/month,Full-time,Junior,No,"This role requires strong skills in Linux, Git, Azure, Customer Service. Talas Agro offers a Full-time position located in Tokmok.","Linux, Git, Azure, Customer Service"
KG-100023,Frontend Developer,Capgemini,"React, Tableau, Java, SQL, NumPy","London, UK",383.87 USD/month,Full-time,Junior,No,"This role requires strong skills in React, Tableau, Java, SQL, NumPy. GlobalDev KG offers a Full-time position located in Bishkek.","React, Tableau, Java, SQL, NumPy"
KG-100441,Automation Tester,Apple,"Azure, Accounting","Toronto, Canada",169.07 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Azure, Accounting. GlobalDev KG offers a Full-time position located in Naryn.","Azure, Accounting"
KG-100117,Full Stack Developer,Siemens,"Python, Power BI, React, Kubernetes","New York, USA",1231.18 USD/month,Full-time,Junior,Yes,"This role requires strong skills in Python, Power BI, React, Kubernetes. GlobalDev KG offers a Full-time position located in Kara-Balta.","Python, Power BI, React, Kubernetes"
KG-100090,Data Scientist,Sony,"Python, Java, Django, Construction, JavaScript","Paris, France",571.84 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Python, Java, Django, Construction, JavaScript. ITBridge offers a Full-time position located in Kara-Balta.","Python, Java, Django, Construction, JavaScript"
KG-100366,Software Engineer,IBM,"Teaching, Accounting, Construction","London, UK",,Full-time,Mid-level,No,"This role requires strong skills in Teaching, Accounting, Construction. BishTech offers a Full-time position located in Kant.","Teaching, Accounting, Construction"
KG-100212,Database Administrator,Siemens,"C#, JavaScript, NumPy, Docker","Paris, France",263.7 USD/month,Part-time,Junior,No,"This role requires strong skills in C#, JavaScript, NumPy, Docker. AitikSoft offers a Part-time position located in Karakol.","C#, JavaScript, NumPy, Docker"
KG-100019,Frontend Developer,Amazon,"Pandas, Sales, Kubernetes, Construction","Berlin, Germany",386.45 USD/month,Full-time,,No,"This role requires strong skills in Pandas, Sales, Kubernetes, Construction. ITBridge offers a Full-time position located in Naryn.","Pandas, Sales, Kubernetes, Construction"
KG-100408,Data Analyst,Microsoft,"Docker, Teaching, Communication","Sydney, Australia",5136.51 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Docker, Teaching, Communication. KyrgyzTrade offers a Full-time position located in Tokmok.","Docker, Teaching, Communication"
KG-100321,UI/UX Designer,Sony,"Sales, Django, Accounting","Toronto, Canada",679.61 USD/month,Full-time,Senior,No,"This role requires strong skills in Sales, Django, Accounting. Central Hospital offers a Full-time position located in Talas.","Sales, Django, Accounting"
KG-100145,Full Stack Developer,IBM,"Project Management, Django, Git","Toronto, Canada",,Full-time,Senior,No,"This role requires strong skills in Project Management, Django, Git. Talas Agro offers a Full-time position located in Karakol.","Project Management, Django, Git"
KG-100290,Machine Learning Engineer,Apple,"SQL, Construction, Project Management, Java","Paris, France",873.52 USD/month,Full-time,Senior,Yes,"This role requires strong skills in SQL, Construction, Project Management, Java. DataMinds KG offers a Full-time position located in Kant.","SQL, Construction, Project Management, Java"
KG-100275,Network Administrator,IBM,"Sales, JavaScript, Excel","Toronto, Canada",127.22 USD/month,Contract,Junior,No,"This role requires strong skills in Sales, JavaScript, Excel. Batken Transport offers a Contract position located in Karakol.","Sales, JavaScript, Excel"
KG-100542,Frontend Developer,Amazon,"Communication, React, Docker","Dubai, UAE",373.72 USD/month,Full-time,Junior,No,"This role requires strong skills in Communication, React, Docker. Batken Transport offers a Full-time position located in Tokmok.","Communication, React, Docker"
KG-100361,Frontend Developer,IBM,"SQL, Sales, Azure, C#, Django","Paris, France",117.21 USD/month,Full-time,Junior,Yes,"This role requires strong skills in SQL, Sales, Azure, C#, Django. ITBridge offers a Full-time position located in Jalal-Abad.","SQL, Sales, Azure, C#, Django"
KG-100251,Data Analyst,Amazon,"Marketing, Flask, Kubernetes, Teaching","Dubai, UAE",349.01 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Marketing, Flask, Kubernetes, Teaching. SkyEdu KG offers a Full-time position located in Tokmok.","Marketing, Flask, Kubernetes, Teaching"
KG-100288,Mobile App Developer,Deloitte,"C#, AWS","London, UK",294.57 USD/month,Full-time,Senior,No,"This role requires strong skills in C#, AWS. CloudKyrgyz offers a Full-time position located in Kara-Balta.","C#, AWS"
KG-100529,QA Engineer,IBM,"Power BI, Accounting, Construction, Teaching","Tokyo, Japan",277.29 USD/month,Internship,Junior,No,"This role requires strong skills in Power BI, Accounting, Construction, Teaching. CloudKyrgyz offers a Internship position located in Kara-Balta.","Power BI, Accounting, Construction, Teaching"
KG-100401,Frontend Developer,IBM,"Customer Service, Marketing, AWS","Dubai, UAE",,Full-time,Mid-level,No,"This role requires strong skills in Customer Service, Marketing, AWS. KyrgyzTrade offers a Full-time position located in Karakol.","Customer Service, Marketing, AWS"
KG-100168,Machine Learning Engineer,Cisco,"Project Management, Pandas, Excel","Amsterdam, Netherlands",159.08 USD/month,Internship,Junior,No,"This role requires strong skills in Project Management, Pandas, Excel. ITBridge offers a Internship position located in Kant.","Project Management, Pandas, Excel"
KG-100055,Systems Engineer,Amazon,"C#, Flask, Communication","Paris, France",,Temporary,Junior,No,"This role requires strong skills in C#, Flask, Communication. BishTech offers a Temporary position located in Batken.","C#, Flask, Communication"
KG-100494,Machine Learning Engineer,Amazon,"React, Construction, Python, Project Management","Berlin, Germany",,Full-time,Senior,No,"This role requires strong skills in React, Construction, Python, Project Management. Alatoo Bank offers a Full-time position located in Kara-Balta.","React, Construction, Python, Project Management"
KG-100047,Machine Learning Engineer,Cisco,"Java, Tableau, SQL","Sydney, Australia",88.6 USD/month,Full-time,,No,"This role requires strong skills in Java, Tableau, SQL. EduFuture offers a Full-time position located in Bishkek.","Java, Tableau, SQL"
KG-100094,Network Administrator,Microsoft,"SQL, AWS, C#, Excel","Amsterdam, Netherlands",275.91 USD/month,Full-time,Junior,No,"This role requires strong skills in SQL, AWS, C#, Excel. BishTech offers a Full-time position located in Naryn.","SQL, AWS, C#, Excel"
KG-100265,AI Engineer,Siemens,"Django, Linux, Communication","London, UK",435.72 USD/month,Full-time,,No,"This role requires strong skills in Django, Linux, Communication. Talas Agro offers a Full-time position located in Jalal-Abad.","Django, Linux, Communication"
KG-100109,Database Administrator,Sony,"NumPy, Docker",Singapore,5058.79 USD/month,Internship,Mid-level,No,"This role requires strong skills in NumPy, Docker. Talas Agro offers a Internship position located in Batken.","NumPy, Docker"
KG-100273,UI/UX Designer,Cisco,"Git, Customer Service, Azure","Sydney, Australia",176.27 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Git, Customer Service, Azure. Talas Agro offers a Full-time position located in Batken.","Git, Customer Service, Azure"
KG-100600,Data Scientist,Capgemini,"Azure, JavaScript, Customer Service","Toronto, Canada",159.3 USD/month,Full-time,Junior,No,"This role requires strong skills in Azure, JavaScript, Customer Service. Central Hospital offers a Full-time position located in Karakol.","Azure, JavaScript, Customer Service"
KG-100480,Systems Engineer,SAP,"Java, Tableau, Docker","Amsterdam, Netherlands",805.51 USD/month,Full-time,Senior,No,"This role requires strong skills in Java, Tableau, Docker. CloudKyrgyz offers a Full-time position located in Kara-Balta.","Java, Tableau, Docker"
KG-100437,Database Administrator,Google,"NumPy, Teaching, Kubernetes","Berlin, Germany",97.1 USD/month,Full-time,Junior,No,"This role requires strong skills in NumPy, Teaching, Kubernetes. Alatoo Bank offers a Full-time position located in Jalal-Abad.","NumPy, Teaching, Kubernetes"
KG-100384,Cloud Engineer,Capgemini,"Sales, Azure, SQL","Tokyo, Japan",278.4 USD/month,Full-time,Junior,No,"This role requires strong skills in Sales, Azure, SQL. Central Hospital offers a Full-time position located in Jalal-Abad.","Sales, Azure, SQL"
KG-100381,Cybersecurity Specialist,Apple,"JavaScript, Django, React, Construction","Amsterdam, Netherlands",330.15 USD/month,Part-time,Senior,No,"This role requires strong skills in JavaScript, Django, React, Construction. DataMinds KG offers a Part-time position located in Kara-Balta.","JavaScript, Django, React, Construction"
KG-100463,QA Engineer,Apple,"Marketing, Accounting, Azure, Django","Paris, France",,Full-time,Senior,No,"This role requires strong skills in Marketing, Accounting, Azure, Django. AitikSoft offers a Full-time position located in Karakol.","Marketing, Accounting, Azure, Django"
KG-100395,Product Manager (Tech),Sony,"NumPy, Java, Linux","Paris, France",87.89 USD/month,Full-time,Junior,No,"This role requires strong skills in NumPy, Java, Linux. CloudKyrgyz offers a Full-time position located in Naryn.","NumPy, Java, Linux"
KG-100266,Mobile App Developer,Accenture,"SQL, Linux, Azure, Project Management",Singapore,3200.21 USD/month,Full-time,Junior,Yes,"This role requires strong skills in SQL, Linux, Azure, Project Management. ITBridge offers a Full-time position located in Batken.","SQL, Linux, Azure, Project Management"
KG-100481,UI/UX Designer,Apple,"Customer Service, Pandas","Amsterdam, Netherlands",204.17 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Customer Service, Pandas. SkyEdu KG offers a Full-time position located in Tokmok.","Customer Service, Pandas"
KG-100518,Cybersecurity Specialist,Oracle,"Linux, Marketing, NumPy","New York, USA",4280.49 USD/month,Full-time,Junior,No,"This role requires strong skills in Linux, Marketing, NumPy. GreenBuild offers a Full-time position located in Naryn.","Linux, Marketing, NumPy"
KG-100070,Machine Learning Engineer,Apple,"Communication, NumPy, AWS","Berlin, Germany",320.58 USD/month,Internship,Senior,No,"This role requires strong skills in Communication, NumPy, AWS. Sunrise Marketing offers a Internship position located in Tokmok.","Communication, NumPy, AWS"
KG-100232,Automation Tester,Accenture,"NumPy, Project Management, Marketing, Communication","Sydney, Australia",146.03 USD/month,Full-time,Junior,No,"This role requires strong skills in NumPy, Project Management, Marketing, Communication. SilkRoad Foods offers a Full-time position located in Talas.","NumPy, Project Management, Marketing, Communication"
KG-100404,IT Support Specialist,Microsoft,"Kubernetes, Tableau, Communication, Sales","London, UK",,Full-time,Senior,No,"This role requires strong skills in Kubernetes, Tableau, Communication, Sales. Talas Agro offers a Full-time position located in Talas.","Kubernetes, Tableau, Communication, Sales"
KG-100279,Systems Engineer,Deloitte,"C#, NumPy","London, UK",276.61 USD/month,Full-time,Senior,No,"This role requires strong skills in C#, NumPy. Sunrise Marketing offers a Full-time position located in Karakol.","C#, NumPy"
KG-100473,Full Stack Developer,Intel,"Flask, Excel","London, UK",379.65 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Flask, Excel. CloudKyrgyz offers a Full-time position located in Batken.","Flask, Excel"
KG-100351,Systems Engineer,Meta,"Sales, Python",Singapore,275.56 USD/month,Full-time,Senior,No,"This role requires strong skills in Sales, Python. Nomad Retail offers a Full-time position located in Bishkek.","Sales, Python"
KG-100510,UI/UX Designer,Google,"Docker, Accounting, C#, Python, React","London, UK",592.0 USD/month,Part-time,Senior,No,"This role requires strong skills in Docker, Accounting, C#, Python, React. Alatoo Bank offers a Part-time position located in Naryn.","Docker, Accounting, C#, Python, React"
KG-100150,DevOps Engineer,SAP,"Azure, Docker, Git","Sydney, Australia",189.88 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Azure, Docker, Git. DataMinds KG offers a Full-time position located in Batken.","Azure, Docker, Git"
KG-100125,Cybersecurity Specialist,Meta,"Construction, Python, Communication",Singapore,634.19 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Construction, Python, Communication. Nomad Retail offers a Full-time position located in Naryn.","Construction, Python, Communication"
KG-100429,Full Stack Developer,Apple,"Excel, Python","Amsterdam, Netherlands",,Full-time,Mid-level,No,"This role requires strong skills in Excel, Python. Talas Agro offers a Full-time position located in Tokmok.","Excel, Python"
KG-100466,UI/UX Designer,Oracle,"NumPy, Marketing, Excel","London, UK",456.45 USD/month,Contract,Senior,No,"This role requires strong skills in NumPy, Marketing, Excel. GlobalDev KG offers a Contract position located in Kant.","NumPy, Marketing, Excel"
KG-100186,Product Manager (Tech),Amazon,"Tableau, JavaScript, Django","Toronto, Canada",747.52 USD/month,Full-time,Senior,No,"This role requires strong skills in Tableau, JavaScript, Django. EduFuture offers a Full-time position located in Bishkek.","Tableau, JavaScript, Django"
KG-100228,Data Scientist,Intel,"Accounting, Tableau, React, Communication, Construction","Sydney, Australia",,Full-time,Senior,No,"This role requires strong skills in Accounting, Tableau, React, Communication, Construction. ITBridge offers a Full-time position located in Talas.","Accounting, Tableau, React, Communication, Construction"
KG-100292,Mobile App Developer,Amazon,"Power BI, AWS, Azure, Kubernetes, Customer Service","Dubai, UAE",699.75 USD/month,Full-time,,No,"This role requires strong skills in Power BI, AWS, Azure, Kubernetes, Customer Service. HR Solutions KG offers a Full-time position located in Kara-Balta.","Power BI, AWS, Azure, Kubernetes, Customer Service"
KG-100248,Network Administrator,Siemens,"Azure, SQL, Flask","Toronto, Canada",275.18 USD/month,Full-time,Senior,No,"This role requires strong skills in Azure, SQL, Flask. EduFuture offers a Full-time position located in Jalal-Abad.","Azure, SQL, Flask"
KG-100291,Cybersecurity Specialist,Cisco,"Power BI, Communication, Kubernetes, NumPy, Customer Service","Sydney, Australia",282.19 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Power BI, Communication, Kubernetes, NumPy, Customer Service. CloudKyrgyz offers a Full-time position located in Karakol.","Power BI, Communication, Kubernetes, NumPy, Customer Service"
KG-100250,Full Stack Developer,Sony,"Teaching, Linux, Project Management",Singapore,,Contract,Senior,No,"This role requires strong skills in Teaching, Linux, Project Management. GreenBuild offers a Contract position located in Tokmok.","Teaching, Linux, Project Management"
KG-100444,IT Support Specialist,Siemens,"Git, Accounting, Azure","Sydney, Australia",344.12 USD/month,Part-time,Mid-level,No,"This role requires strong skills in Git, Accounting, Azure. SilkRoad Foods offers a Part-time position located in Talas.","Git, Accounting, Azure"
KG-100552,Cybersecurity Specialist,IBM,"Kubernetes, Pandas, Linux, Excel","Tokyo, Japan",349.62 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Kubernetes, Pandas, Linux, Excel. Central Hospital offers a Full-time position located in Tokmok.","Kubernetes, Pandas, Linux, Excel"
KG-100553,Automation Tester,Deloitte,"Pandas, React, Git, Customer Service","Paris, France",269.58 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Pandas, React, Git, Customer Service. GreenBuild offers a Full-time position located in Kara-Balta.","Pandas, React, Git, Customer Service"
KG-100551,AI Engineer,Deloitte,"Power BI, Project Management","London, UK",410.55 USD/month,Full-time,,No,"This role requires strong skills in Power BI, Project Management. SilkRoad Foods offers a Full-time position located in Kara-Balta.","Power BI, Project Management"
KG-100115,Database Administrator,Deloitte,"Teaching, Communication, Java, C#, NumPy",Singapore,144.18 USD/month,Part-time,Mid-level,Yes,"This role requires strong skills in Teaching, Communication, Java, C#, NumPy. GlobalDev KG offers a Part-time position located in Kara-Balta.","Teaching, Communication, Java, C#, NumPy"
KG-100204,AI Engineer,Siemens,"Kubernetes, Excel, Python","Tokyo, Japan",2982.21 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Kubernetes, Excel, Python. Naryn Energy offers a Full-time position located in Karakol.","Kubernetes, Excel, Python"
KG-100142,Automation Tester,Siemens,"Pandas, Java, JavaScript","Berlin, Germany",149.02 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Pandas, Java, JavaScript. Osh Logistics offers a Full-time position located in Batken.","Pandas, Java, JavaScript"
KG-100339,Cybersecurity Specialist,Cisco,"Linux, Communication","Paris, France",555.75 USD/month,Contract,Mid-level,No,"This role requires strong skills in Linux, Communication. Naryn Energy offers a Contract position located in Jalal-Abad.","Linux, Communication"
KG-100008,Network Administrator,Siemens,"NumPy, Sales, C#","Dubai, UAE",576.6 USD/month,Full-time,Senior,No,"This role requires strong skills in NumPy, Sales, C#. Talas Agro offers a Full-time position located in Talas.","NumPy, Sales, C#"
KG-100522,Cybersecurity Specialist,Sony,"C#, Accounting, Docker","Sydney, Australia",,Part-time,Mid-level,No,"This role requires strong skills in C#, Accounting, Docker. EduFuture offers a Part-time position located in Kara-Balta.","C#, Accounting, Docker"
KG-100020,Machine Learning Engineer,Siemens,"Power BI, JavaScript, Kubernetes","New York, USA",,Full-time,Junior,No,"This role requires strong skills in Power BI, JavaScript, Kubernetes. Alatoo Bank offers a Full-time position located in Talas.","Power BI, JavaScript, Kubernetes"
KG-100173,Cybersecurity Specialist,Accenture,"NumPy, Tableau, Marketing","London, UK",154.7 USD/month,Full-time,Mid-level,No,"This role requires strong skills in NumPy, Tableau, Marketing. EduFuture offers a Full-time position located in Jalal-Abad.","NumPy, Tableau, Marketing"
KG-100452,Network Administrator,Microsoft,"Marketing, Git, JavaScript, Communication","Berlin, Germany",607.11 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Marketing, Git, JavaScript, Communication. Alatoo Bank offers a Full-time position located in Talas.","Marketing, Git, JavaScript, Communication"
KG-100057,Data Analyst,Capgemini,"Java, Marketing, Python","Paris, France",214.74 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Java, Marketing, Python. Alatoo Bank offers a Full-time position located in Karakol.","Java, Marketing, Python"
